"Company","cik","deal_url"
"UBS Commercial Mortgage Trust 2017-C2","0001711142","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001711142&action=getcompany"
"UBS Commercial Mortgage Trust 2017-C3","0001713226","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001713226&action=getcompany"
"UBS Commercial Mortgage Trust 2017-C7","0001724177","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001724177&action=getcompany"
"UBS Commercial Mortgage Trust 2018-C10","0001736862","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001736862&action=getcompany"
"UBS Commercial Mortgage Trust 2018-C11","0001740040","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001740040&action=getcompany"
"UBS Commercial Mortgage Trust 2018-C12","0001744982","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001744982&action=getcompany"
"UBS Commercial Mortgage Trust 2018-C13","0001749360","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001749360&action=getcompany"
"UBS Commercial Mortgage Trust 2018-C14","0001758292","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001758292&action=getcompany"
"UBS Commercial Mortgage Trust 2018-C8","0001727836","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001727836&action=getcompany"
"UBS Commercial Mortgage Trust 2018-C9","0001731058","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001731058&action=getcompany"
"USAA ACCEPTANCE LLC","0001178049","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001178049&action=getcompany"
"USAA Auto Owner Trust 2017-1","0001713660","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001713660&action=getcompany"
